instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
211030277,824337,BANKEX26AUG64500CE,"BANKEX",0,2026-08-27,64500,0.05,30,CE,BFO-OPT,BFO
212510725,830120,BANKEX26AUG64500PE,"BANKEX",0,2026-08-27,64500,0.05,30,PE,BFO-OPT,BFO
210822149,823524,BANKEX26AUG64400PE,"BANKEX",0,2026-08-27,64400,0.05,30,PE,BFO-OPT,BFO
212582149,830399,BANKEX26AUG64400CE,"BANKEX",0,2026-08-27,64400,0.05,30,CE,BFO-OPT,BFO
210891525,823795,BANKEX26AUG64300CE,"BANKEX",0,2026-08-27,64300,0.05,30,CE,BFO-OPT,BFO
211336197,825532,BANKEX26AUG64300PE,"BANKEX",0,2026-08-27,64300,0.05,30,PE,BFO-OPT,BFO
212316933,829363,BANKEX26AUG64200CE,"BANKEX",0,2026-08-27,64200,0.05,30,CE,BFO-OPT,BFO
212872453,831533,BANKEX26AUG64200PE,"BANKEX",0,2026-08-27,64200,0.05,30,PE,BFO-OPT,BFO
210758405,823275,BANKEX26AUG64100CE,"BANKEX",0,2026-08-27,64100,0.05,30,CE,BFO-OPT,BFO
211197701,824991,BANKEX26AUG64100PE,"BANKEX",0,2026-08-27,64100,0.05,30,PE,BFO-OPT,BFO
211270917,825277,BANKEX26AUG64000CE,"BANKEX",0,2026-08-27,64000,0.05,30,CE,BFO-OPT,BFO
212747781,831046,BANKEX26AUG64000PE,"BANKEX",0,2026-08-27,64000,0.05,30,PE,BFO-OPT,BFO
211427845,825890,BANKEX26AUG63900PE,"BANKEX",0,2026-08-27,63900,0.05,30,PE,BFO-OPT,BFO
212124677,828612,BANKEX26AUG63900CE,"BANKEX",0,2026-08-27,63900,0.05,30,CE,BFO-OPT,BFO
211500805,826175,BANKEX26AUG63800CE,"BANKEX",0,2026-08-27,63800,0.05,30,CE,BFO-OPT,BFO
211934469,827869,BANKEX26AUG63800PE,"BANKEX",0,2026-08-27,63800,0.05,30,PE,BFO-OPT,BFO
211997445,828115,BANKEX26AUG63700CE,"BANKEX",0,2026-08-27,63700,0.05,30,CE,BFO-OPT,BFO
212567045,830340,BANKEX26AUG63700PE,"BANKEX",0,2026-08-27,63700,0.05,30,PE,BFO-OPT,BFO
211365637,825647,BANKEX26AUG63600CE,"BANKEX",0,2026-08-27,63600,0.05,30,CE,BFO-OPT,BFO
211803909,827359,BANKEX26AUG63600PE,"BANKEX",0,2026-08-27,63600,0.05,30,PE,BFO-OPT,BFO
211870213,827618,BANKEX26AUG63500CE,"BANKEX",0,2026-08-27,63500,0.05,30,CE,BFO-OPT,BFO
212300805,829300,BANKEX26AUG63500PE,"BANKEX",0,2026-08-27,63500,0.05,30,PE,BFO-OPT,BFO
211224581,825096,BANKEX26AUG63400CE,"BANKEX",0,2026-08-27,63400,0.05,30,CE,BFO-OPT,BFO
211667205,826825,BANKEX26AUG63400PE,"BANKEX",0,2026-08-27,63400,0.05,30,PE,BFO-OPT,BFO
211736837,827097,BANKEX26AUG63300CE,"BANKEX",0,2026-08-27,63300,0.05,30,CE,BFO-OPT,BFO
212168965,828785,BANKEX26AUG63300PE,"BANKEX",0,2026-08-27,63300,0.05,30,PE,BFO-OPT,BFO
211543557,826342,BANKEX26AUG63200PE,"BANKEX",0,2026-08-27,63200,0.05,30,PE,BFO-OPT,BFO
212241669,829069,BANKEX26AUG63200CE,"BANKEX",0,2026-08-27,63200,0.05,30,CE,BFO-OPT,BFO
211611397,826607,BANKEX26AUG63100CE,"BANKEX",0,2026-08-27,63100,0.05,30,CE,BFO-OPT,BFO
212043013,828293,BANKEX26AUG63100PE,"BANKEX",0,2026-08-27,63100,0.05,30,PE,BFO-OPT,BFO
212112133,828563,BANKEX26AUG63000CE,"BANKEX",0,2026-08-27,63000,0.05,30,CE,BFO-OPT,BFO
212679173,830778,BANKEX26AUG63000PE,"BANKEX",0,2026-08-27,63000,0.05,30,PE,BFO-OPT,BFO
210907909,823859,BANKEX26AUG62900CE,"BANKEX",0,2026-08-27,62900,0.05,30,CE,BFO-OPT,BFO
211352325,825595,BANKEX26AUG62900PE,"BANKEX",0,2026-08-27,62900,0.05,30,PE,BFO-OPT,BFO
212329221,829411,BANKEX26AUG62800CE,"BANKEX",0,2026-08-27,62800,0.05,30,CE,BFO-OPT,BFO
212883461,831576,BANKEX26AUG62800PE,"BANKEX",0,2026-08-27,62800,0.05,30,PE,BFO-OPT,BFO
210772485,823330,BANKEX26AUG62700CE,"BANKEX",0,2026-08-27,62700,0.05,30,CE,BFO-OPT,BFO
211211269,825044,BANKEX26AUG62700PE,"BANKEX",0,2026-08-27,62700,0.05,30,PE,BFO-OPT,BFO
212195845,828890,BANKEX26AUG62600CE,"BANKEX",0,2026-08-27,62600,0.05,30,CE,BFO-OPT,BFO
212760837,831097,BANKEX26AUG62600PE,"BANKEX",0,2026-08-27,62600,0.05,30,PE,BFO-OPT,BFO
211086853,824558,BANKEX26AUG62500PE,"BANKEX",0,2026-08-27,62500,0.05,30,PE,BFO-OPT,BFO
212828677,831362,BANKEX26AUG62500CE,"BANKEX",0,2026-08-27,62500,0.05,30,CE,BFO-OPT,BFO
211155461,824826,BANKEX26AUG62400CE,"BANKEX",0,2026-08-27,62400,0.05,30,CE,BFO-OPT,BFO
212634373,830603,BANKEX26AUG62400PE,"BANKEX",0,2026-08-27,62400,0.05,30,PE,BFO-OPT,BFO
210955781,824046,BANKEX26AUG62300PE,"BANKEX",0,2026-08-27,62300,0.05,30,PE,BFO-OPT,BFO
212705541,830881,BANKEX26AUG62300CE,"BANKEX",0,2026-08-27,62300,0.05,30,CE,BFO-OPT,BFO
211028485,824330,BANKEX26AUG62200CE,"BANKEX",0,2026-08-27,62200,0.05,30,CE,BFO-OPT,BFO
